,City,Country,Lat,Lng,Temp,Humidity,Wind Speed,Cloudiness
0,hobart,AU,-42.88,147.33,50.95,66,1.12,75
1,babusnica,RS,43.06,22.41,55.99,10,4.99,100
2,tiksi,RU,71.69,128.87,3.02,93,4.68,96
3,malanje,AO,-9.54,16.34,67.15,87,1.66,99
4,altay,CN,47.87,88.12,25.03,81,1.74,0
5,college,US,64.86,-147.8,5.41,77,3.36,90
6,ouallam,NE,14.32,2.09,88.11,13,9.22,0
7,kencong,ID,-8.28,113.37,74.32,85,5.66,99
8,ushuaia,AR,-54.8,-68.3,55.4,58,4.7,90
9,albany,US,42.6,-73.97,42.31,69,7.45,0
10,victoria,HK,22.29,114.16,69.53,77,1.01,92
11,kirakira,SB,-10.45,161.92,81.46,77,4.47,85
12,bereznik,RU,62.86,42.71,30.22,98,2.93,0
13,cabo san lucas,MX,22.89,-109.91,84.29,61,11.41,40
14,rawson,AR,-43.3,-65.1,76.01,23,11.1,3
15,rikitea,PF,-23.12,-134.97,75.24,69,6.87,0
16,port blair,IN,11.67,92.75,79.97,80,5.97,12
17,ponta delgada,PT,37.73,-25.67,69.8,94,17.22,75
18,punta arenas,CL,-53.15,-70.92,59.0,54,19.46,75
19,zuya,UA,45.05,34.32,49.51,79,3.89,100
20,thompson,CA,55.74,-97.86,19.4,62,18.34,75
21,vaini,TO,-21.2,-175.2,73.4,88,11.41,90
22,north bend,US,43.41,-124.22,62.2,62,3.36,1
23,antoniny,UA,49.81,26.88,42.85,86,12.68,76
24,atuona,PF,-9.8,-139.03,78.55,74,17.54,23
25,bethel,US,41.37,-73.41,43.92,39,5.82,1
26,kavaratti,IN,10.57,72.64,82.06,70,2.3,2
27,talnakh,RU,69.49,88.4,19.4,92,29.08,90
28,jamestown,US,42.1,-79.24,41.23,64,8.05,75
29,hilo,US,19.73,-155.09,81.59,54,3.36,40
30,antofagasta,CL,-23.65,-70.4,64.4,63,14.99,75
31,tual,ID,-5.67,132.75,83.16,77,12.64,100
32,nuuk,GL,64.18,-51.72,23.0,79,3.53,90
33,yellowknife,CA,62.46,-114.35,20.82,85,14.99,90
34,dunedin,NZ,-45.87,170.5,55.0,67,5.01,21
35,provideniya,RU,64.38,-173.3,21.04,88,6.55,84
36,barrow,US,71.29,-156.79,24.8,68,10.29,75
37,mataura,NZ,-46.19,168.86,55.99,70,7.0,29
38,bathsheba,BB,13.22,-59.52,80.6,83,17.22,75
39,east london,ZA,-33.02,27.91,65.55,71,10.94,100
40,chuy,UY,-33.7,-53.46,62.82,64,8.7,11
41,sitka,US,57.05,-135.33,51.8,87,25.28,90
42,san cristobal,VE,7.77,-72.22,86.0,62,11.41,40
43,bengkulu,ID,-3.8,102.27,75.67,88,4.21,100
44,melnikovo,RU,56.56,84.08,33.01,89,11.01,100
45,cidreira,BR,-30.18,-50.21,66.24,65,10.0,73
46,bambous virieux,MU,-20.34,57.76,65.64,82,5.82,40
47,pauini,BR,-7.71,-66.98,72.05,98,5.7,100
48,booue,GA,-0.09,11.94,73.78,93,3.96,100
49,luderitz,NA,-26.65,15.16,66.51,43,21.92,42
50,kloulklubed,PW,7.04,134.26,84.43,77,16.33,100
51,busselton,AU,-33.65,115.33,57.76,77,8.16,100
52,faanui,PF,-16.48,-151.75,79.12,73,19.17,0
53,tateyama,JP,34.98,139.87,51.8,76,8.05,0
54,frolovo,RU,49.77,43.66,53.01,87,1.01,100
55,kaitangata,NZ,-46.28,169.85,57.99,54,15.01,74
56,qaanaaq,GL,77.48,-69.36,9.79,83,6.17,89
57,bluff,NZ,-46.6,168.33,55.99,70,7.0,94
58,santiago del estero,AR,-27.8,-64.26,84.34,17,9.08,0
59,muriwai beach,NZ,-36.82,174.45,64.0,88,4.0,46
60,elsterwerda,DE,51.45,13.53,53.15,100,4.7,0
61,goba,ET,7.02,39.98,50.11,83,1.48,46
62,puerto colombia,CO,10.99,-74.95,75.2,100,8.05,75
63,huarmey,PE,-10.07,-78.15,68.59,67,8.72,100
64,butaritari,KI,3.07,172.79,81.25,75,15.48,100
65,safranbolu,TR,41.25,32.69,48.4,84,0.29,46
66,gizo,SB,-8.1,156.84,82.67,73,6.85,2
67,lompoc,US,34.64,-120.46,75.02,37,6.2,1
68,cherskiy,RU,68.75,161.3,9.23,89,3.69,94
69,torbay,CA,47.67,-52.73,34.57,74,12.75,90
70,puerto ayora,EC,-0.74,-90.35,74.44,73,16.11,75
71,bredasdorp,ZA,-34.53,20.04,59.0,77,5.82,0
72,mayumba,GA,-3.43,10.66,78.31,88,7.61,92
73,cape town,ZA,-33.93,18.42,60.51,59,14.99,0
74,pevek,RU,69.7,170.31,13.1,96,11.23,71
75,norman wells,CA,65.28,-126.83,1.4,84,3.36,20
76,te anau,NZ,-45.42,167.72,51.49,67,8.14,73
77,clyde river,CA,70.47,-68.59,15.8,92,14.99,75
78,havre-saint-pierre,CA,50.23,-63.6,30.2,63,21.92,1
79,sarangani,PH,5.4,125.46,80.29,84,20.71,100
80,bayburt,TR,40.26,40.23,51.06,49,6.73,97
81,richards bay,ZA,-28.78,32.04,66.04,81,8.21,100
82,yar-sale,RU,66.83,70.83,25.66,96,11.52,37
83,sotouboua,TG,8.57,0.98,79.03,55,2.44,57
84,tuktoyaktuk,CA,69.45,-133.04,-4.0,83,5.82,40
85,lithakia,GR,37.72,20.83,55.4,82,3.36,0
86,karanganyar,ID,-6.71,111.08,74.25,93,3.44,100
87,nhulunbuy,AU,-12.23,136.77,77.0,88,5.82,0
88,esperance,AU,-33.87,121.9,64.4,42,6.93,100
89,upernavik,GL,72.79,-56.15,15.76,96,13.82,88
90,nouakchott,MR,18.09,-15.98,77.0,78,10.29,0
91,mulege,MX,26.88,-111.98,84.36,32,8.37,100
92,ostrovnoy,RU,68.05,39.51,26.64,95,14.76,71
93,lata,PT,40.16,-8.33,63.37,87,0.67,66
94,adrar,MR,20.5,-10.07,85.62,14,10.74,100
95,vermillion,US,42.78,-96.93,60.15,36,20.8,1
96,udachnyy,RU,66.42,112.4,1.4,84,2.24,0
97,kapaa,US,22.08,-159.32,80.65,78,6.87,1
98,sala consilina,IT,40.39,15.6,52.95,93,1.01,0
99,port elizabeth,ZA,-33.92,25.57,62.01,82,9.75,89
100,haines junction,CA,60.75,-137.51,14.0,78,4.7,100
101,forbes,AU,-33.38,148.02,52.0,96,5.28,0
102,new norfolk,AU,-42.78,147.06,49.39,70,2.19,33
103,mnogovershinnyy,RU,53.94,139.92,29.97,98,3.71,100
104,inongo,CD,-1.95,18.27,74.97,83,4.59,79
